TPLsp_append,OrganismType,SpeciesAuthor,Kingdom,Phylum,Class,Order,Family,SpeciesAccepted,Taxonomic.status,TPLsp
Alaria nana,Algae,Alaria_nana,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria nana,,Alaria nana
Ascophyllum nodosum,Algae,Ascophyllum_nodosum,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,Ascophyllum nodosum,,Ascophyllum nodosum
Ascophyllum nodosum,Algae,Ascophyllum_nodosum_2,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Aspleniaceae,Ascophyllum nodosum,,Ascophyllum nodosum
Ascophyllum nodosum,Algae,Ascophyllum_nodosum_3,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Aspleniaceae,Ascophyllum nodosum,,Ascophyllum nodosum
Chondracanthus chamissoi,Algae,Chondracanthus_chamissoi,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus chamissoi,,Chondracanthus chamissoi
Chondracanthus squarrulosus,Algae,Chondracanthus_squarrulosus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus squarrulosus,,Chondracanthus squarrulosus
Cystoseira humilis,Algae,Cystoseira_humilis,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Sargassaceae,Cystoseira humilis,,Cystoseira humilis
Cystoseira zosteroides,Algae,Cystoseira_zosteroides,Plantae,Heterokontophyta,Phaeophyceae,Fucales,Fzcaceae,Cystoseira zosteroides,,Cystoseira zosteroides
Delisea pulchra,Algae,Delisea_pulchra,Chromalveolata,Heterokontophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Delisea pulchra,,Delisea pulchra
Ecklonia radiata,Algae,Ecklonia_radiata,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,Ecklonia radiata,,Ecklonia radiata
Fucus vesiculosus,Algae,Fucus_distichus,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,Fucus vesiculosus,Unresolved,Fucus vesiculosus
Fucus vesiculosus,Algae,Fucus_serratus,Chromalveolata,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,Fucus vesiculosus,Unresolved,Fucus vesiculosus
Gelidium sesquipedale,Algae,Gelidium_sesquipedale,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium sesquipedale,,Gelidium sesquipedale
Gelidium sesquipedale,Algae,Gelidium_sesquipedale_2,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium sesquipedale,,Gelidium sesquipedale
Gracilaria gracilis,Algae,Gracilaria_gracilis,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria gracilis,,Gracilaria gracilis
Iridaea splendens,Algae,Iridaea_splendens,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Gigartinaceae,Iridaea splendens,,Iridaea splendens
Laminaria digitata,Algae,Laminaria_digitata,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria digitata,,Laminaria digitata
Laminaria longicruris,Algae,Laminaria_longicruris,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria longicruris,,Laminaria longicruris
Lessonia nigrescens,Algae,Lessonia_nigrescens,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,Lessonia nigrescens,,Lessonia nigrescens
Macrocystis pyrifera,Algae,Macrocystis_pyrifera,Chromalveolata,Heterokontophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis pyrifera,,Macrocystis pyrifera
